path,loss,confusion_score
./DATA/train/0/22165.png,1.384464979171753,0.75
./DATA/train/0/41664.png,1.3811839818954468,0.75
./DATA/train/0/16178.png,1.3844047784805298,0.75
./DATA/train/0/42441.png,1.384559988975525,0.75
./DATA/train/0/4055.png,1.3764266967773438,0.5
./DATA/train/0/26418.png,1.386966347694397,0.75
./DATA/train/0/28092.png,1.3814659118652344,0.75
./DATA/train/0/24458.png,1.3901454210281372,0.75
./DATA/train/0/43530.png,1.420047640800476,1.0
./DATA/train/0/38525.png,1.4041062593460083,0.75
./DATA/train/0/8409.png,1.3861536979675293,0.75
./DATA/train/0/6241.png,1.2867982387542725,0.5
./DATA/train/0/41558.png,1.3864556550979614,0.75
./DATA/train/0/33632.png,1.382948875427246,0.75
./DATA/train/0/10958.png,1.3859124183654785,0.75
./DATA/train/0/43575.png,1.3019447326660156,0.5
./DATA/train/0/30631.png,1.2747063636779785,0.5
./DATA/train/0/49554.png,1.3870937824249268,0.75
./DATA/train/0/37402.png,1.179116129875183,0.25
./DATA/train/0/48715.png,1.384709119796753,0.75
./DATA/train/0/38724.png,1.2621365785598755,0.5
./DATA/train/0/5153.png,1.3804781436920166,0.5
./DATA/train/0/3594.png,1.3892295360565186,1.0
./DATA/train/0/21399.png,1.3660497665405273,0.5
./DATA/train/0/14607.png,1.5686275959014893,1.0
./DATA/train/0/7234.png,0.9487401843070984,0.0
./DATA/train/0/13359.png,1.3876533508300781,0.75
./DATA/train/0/17390.png,1.3899247646331787,0.75
./DATA/train/0/28361.png,1.3851799964904785,0.5
./DATA/train/0/45370.png,1.393633484840393,0.75
./DATA/train/0/20155.png,1.386883020401001,0.75
./DATA/train/0/32404.png,1.1000821590423584,0.0
./DATA/train/0/40036.png,1.3822438716888428,0.75
./DATA/train/0/36323.png,1.3590476512908936,0.75
./DATA/train/0/13531.png,1.3819860219955444,0.75
./DATA/train/0/16356.png,1.299846887588501,0.5
./DATA/train/0/29275.png,1.3826944828033447,0.75
./DATA/train/0/35502.png,1.3843731880187988,0.75
./DATA/train/0/16854.png,1.3837263584136963,0.75
./DATA/train/0/30249.png,1.3853657245635986,0.75
./DATA/train/0/31139.png,1.370545744895935,0.75
./DATA/train/0/176.png,1.3854026794433594,0.75
./DATA/train/0/31066.png,1.3895195722579956,0.75
./DATA/train/0/32128.png,1.308362603187561,0.75
./DATA/train/0/8106.png,1.973879098892212,0.75
./DATA/train/0/23137.png,1.3815962076187134,1.0
./DATA/train/0/32681.png,1.3412708044052124,0.75
./DATA/train/0/5077.png,1.7194052934646606,1.0
./DATA/train/0/4251.png,1.4178457260131836,1.0
./DATA/train/0/14967.png,1.3817272186279297,0.75
